            kk          ep11          ep22          ep33          ep23          ep13          ep12         sig11         sig22         sig33         sig23         sig13         sig12
          7000    -0.636E-04     0.000E+00     0.636E-04     0.318E-04     0.000E+00    -0.318E-04     0.227E-10     0.000E+00     0.560E-02     0.000E+00    -0.356E-06    -0.000E+00
          7200    -0.651E-04     0.000E+00     0.651E-04     0.325E-04     0.000E+00    -0.325E-04     0.237E-10     0.000E+00     0.559E-02     0.000E+00    -0.364E-06    -0.000E+00
          7400    -0.667E-04     0.000E+00     0.667E-04     0.334E-04     0.000E+00    -0.334E-04     0.249E-10     0.000E+00     0.559E-02     0.000E+00    -0.373E-06    -0.000E+00
          7600    -0.686E-04     0.000E+00     0.686E-04     0.343E-04     0.000E+00    -0.343E-04     0.263E-10     0.000E+00     0.558E-02     0.000E+00    -0.383E-06    -0.000E+00
          7800    -0.708E-04     0.000E+00     0.708E-04     0.354E-04     0.000E+00    -0.354E-04     0.279E-10     0.000E+00     0.557E-02     0.000E+00    -0.395E-06    -0.000E+00
          8000    -0.733E-04     0.000E+00     0.733E-04     0.366E-04     0.000E+00    -0.366E-04     0.299E-10     0.000E+00     0.556E-02     0.000E+00    -0.408E-06    -0.000E+00
          8200    -0.761E-04     0.000E+00     0.761E-04     0.380E-04     0.000E+00    -0.380E-04     0.321E-10     0.000E+00     0.555E-02     0.000E+00    -0.422E-06    -0.000E+00
          8400    -0.791E-04     0.000E+00     0.791E-04     0.396E-04     0.000E+00    -0.396E-04     0.347E-10     0.000E+00     0.554E-02     0.000E+00    -0.439E-06    -0.000E+00
          8600    -0.825E-04     0.000E+00     0.825E-04     0.413E-04     0.000E+00    -0.413E-04     0.377E-10     0.000E+00     0.553E-02     0.000E+00    -0.456E-06    -0.000E+00
          8800    -0.862E-04     0.000E+00     0.862E-04     0.431E-04     0.000E+00    -0.431E-04     0.410E-10     0.000E+00     0.552E-02     0.000E+00    -0.476E-06    -0.000E+00
          9000    -0.902E-04     0.000E+00     0.902E-04     0.451E-04     0.000E+00    -0.451E-04     0.448E-10     0.000E+00     0.550E-02     0.000E+00    -0.496E-06    -0.000E+00
          9200    -0.945E-04     0.000E+00     0.945E-04     0.473E-04     0.000E+00    -0.473E-04     0.490E-10     0.000E+00     0.549E-02     0.000E+00    -0.518E-06    -0.000E+00
          9400    -0.992E-04     0.000E+00     0.992E-04     0.496E-04     0.000E+00    -0.496E-04     0.538E-10     0.000E+00     0.547E-02     0.000E+00    -0.542E-06    -0.000E+00
          9600    -0.104E-03     0.000E+00     0.104E-03     0.521E-04     0.000E+00    -0.521E-04     0.591E-10     0.000E+00     0.545E-02     0.000E+00    -0.568E-06    -0.000E+00
          9800    -0.110E-03     0.000E+00     0.110E-03     0.548E-04     0.000E+00    -0.548E-04     0.652E-10     0.000E+00     0.543E-02     0.000E+00    -0.595E-06    -0.000E+00
         10000    -0.115E-03     0.000E+00     0.115E-03     0.575E-04     0.000E+00    -0.575E-04     0.715E-10     0.000E+00     0.541E-02     0.000E+00    -0.622E-06    -0.000E+00
         10200    -0.118E-03     0.000E+00     0.118E-03     0.590E-04     0.000E+00    -0.590E-04     0.753E-10     0.000E+00     0.540E-02     0.000E+00    -0.637E-06    -0.000E+00
