    KK    EPS_TOT    EPS_PLA    SIGMA    GAMMA    TAU    EPS_DOT    RHO_TOT    ALPHA    ZP_X    ZP_Y    ZP_Z    TIME
    6800   0.81458E-01   0.19597E-03   0.97680E+02   0.48004E-03   0.39878E+02   0.42116E+03   0.82747E+11  12.7691169  -0.0000020   0.0000000   1.0000000    0.000000000000000
    7000   0.81455E-01   0.21024E-03   0.97659E+02   0.51499E-03   0.39869E+02   0.60117E+03   0.86211E+11  12.5071687  -0.0000021   0.0000000   1.0000000    0.000000000000000
    7200   0.81450E-01   0.22406E-03   0.97637E+02   0.54883E-03   0.39860E+02   0.44048E+03   0.89489E+11  12.2731643  -0.0000022   0.0000000   1.0000000    0.000000000000000
    7400   0.81446E-01   0.24023E-03   0.97613E+02   0.58845E-03   0.39850E+02   0.66363E+03   0.93395E+11  12.0108170  -0.0000024   0.0000000   1.0000000    0.000000000000000
    7600   0.81442E-01   0.25581E-03   0.97589E+02   0.62660E-03   0.39841E+02   0.71776E+03   0.97148E+11  11.7736251  -0.0000026   0.0000000   1.0000000    0.000000000000000
    7800   0.81437E-01   0.27208E-03   0.97563E+02   0.66646E-03   0.39830E+02   0.58222E+03   0.10083E+12  11.5533630  -0.0000027   0.0000000   1.0000000    0.000000000000000
    8000   0.81433E-01   0.29095E-03   0.97536E+02   0.71268E-03   0.39819E+02   0.87735E+03   0.10516E+12  11.3096939  -0.0000029   0.0000000   1.0000000    0.000000000000000
    8200   0.81427E-01   0.31043E-03   0.97505E+02   0.76039E-03   0.39806E+02   0.85364E+03   0.10943E+12  11.0837377  -0.0000031   0.0000000   1.0000000    0.000000000000000
    8400   0.81421E-01   0.33129E-03   0.97473E+02   0.81148E-03   0.39793E+02   0.79002E+03   0.11379E+12  10.8654056  -0.0000033   0.0000000   1.0000000    0.000000000000000
    8600   0.81414E-01   0.35377E-03   0.97438E+02   0.86655E-03   0.39779E+02   0.78277E+03   0.11846E+12  10.6452186  -0.0000035   0.0000000   1.0000000    0.000000000000000
    8800   0.81409E-01   0.37925E-03   0.97401E+02   0.92896E-03   0.39764E+02   0.11744E+04   0.12352E+12  10.4207944  -0.0000038   0.0000000   1.0000000    0.000000000000000
    9000   0.81401E-01   0.40474E-03   0.97360E+02   0.99141E-03   0.39747E+02   0.10109E+04   0.12821E+12  10.2242154  -0.0000040   0.0000000   1.0000000    0.000000000000000
    9200   0.81393E-01   0.43309E-03   0.97317E+02   0.10609E-02   0.39729E+02   0.11455E+04   0.13375E+12  10.0058463  -0.0000043   0.0000000   1.0000000    0.000000000000000
    9400   0.81385E-01   0.46381E-03   0.97271E+02   0.11361E-02   0.39711E+02   0.14302E+04   0.13990E+12   9.7788065  -0.0000046   0.0000000   1.0000000    0.000000000000000
    9600   0.81377E-01   0.49630E-03   0.97221E+02   0.12157E-02   0.39690E+02   0.15896E+04   0.14601E+12   9.5669307  -0.0000050   0.0000000   1.0000000    0.000000000000000
    9800   0.81366E-01   0.53021E-03   0.97168E+02   0.12987E-02   0.39669E+02   0.14563E+04   0.15263E+12   9.3518561  -0.0000053   0.0000000   1.0000000    0.000000000000000
   10000   0.81356E-01   0.56718E-03   0.97111E+02   0.13893E-02   0.39646E+02   0.15521E+04   0.15899E+12   9.1577469  -0.0000057   0.0000000   1.0000000    0.000000000000000
   10200   0.81345E-01   0.60690E-03   0.97050E+02   0.14866E-02   0.39620E+02   0.15524E+04   0.16591E+12   8.9587402  -0.0000061   0.0000000   1.0000000    0.000000000000000
