   X   Y  Sig11  Sig22  Sig33  Sig23  Sig13  Sig12
           1           1   28.193627804104842        27.220821849748319        58.557345516339886        48.742209159749649      -0.81230284531933672      -0.29626634467630519     
           1           2   29.084925433010049        51.869851748662072        55.044409224963751        33.672007121696865       -1.2163580486914174      -0.67820395743726791     
           1           3   25.024741327232512        49.346313715529881        48.012163057658547        26.254058070529840       -3.2604720342710767       0.58612603828920540     
           1           4   23.012416666049791        47.463298087754929        44.299691582632434        22.176960277344762       -2.9661159553770911       0.41535296839717822     
           1           5   21.224257452190692        46.301125098473157        42.500691923936920        19.090891634683050       -2.3774212430478108      -2.32986116876120891E-002
           1           6   19.719473964565275        45.381388469200772        41.469377823398005        16.617241457809076       -1.9928679531362510      -0.46006110171561099     
           1           7   18.582932531851920        44.590436957328379        40.803905918105059        14.613004461944543       -1.8404245393560521      -0.85444567908673696     
           1           8   17.746274260595357        43.870629744953490        40.370405560033838        12.929575932846790       -1.8372055177580884       -1.2052728260591401     
           1           9   17.126786907584123        43.205456199492176        40.127098588732885        11.495392763810065       -1.9106515870820591       -1.5033888649755300     
           1          10   16.653127767944472        42.600094630152718        40.041533946519110        10.269838431638290       -2.0116315941441107       -1.7444609649020895     
           1          11   16.277995867514932        42.074487456876440        40.074646327384563        9.2241790955324880       -2.1053664638500886       -1.9333568573097191     
           1          12   15.970824533898892        41.652951111771628        40.188157925162990        8.3271625353453409       -2.1595312683154924       -2.0770686236833442     
           1          13   15.700648071896962        41.349920230619134        40.364473390810218        7.5394987404032996       -2.1449592353689120       -2.1703776063792932     
           1          14   15.431773761826541        41.155289220088811        40.622072651820872        6.8246385983140874       -2.0583716202544871       -2.1868195982541039     
           1          15   15.153621541595413        41.036752509964955        40.996174300568612        6.1666025088091194       -1.9461355776260660       -2.0961469394484733     
           1          16   14.929099326568565        40.977133269104897        41.461723244951557        5.5878629293638742       -1.8777173694798244       -1.9118476308362713     
           1          17   14.827333347818715        40.984403725530512        41.952447606156120        5.0525203682380866       -1.8619932337006007       -1.6820531321749221     
           1          18   14.820340642651601        41.071454688074169        42.424561083261437        4.4819005399738669       -1.8476862376069845       -1.4356901041716219     
           1          19   14.780661280902674        41.258252403610705        42.871873059264530        3.8328915794098424       -1.7634177270086138       -1.1857289907616537     
           1          20   14.667195590914723        41.581690561119530        43.248851395195231        3.1577489253051212       -1.5363911384675519      -0.95225758941716365     
           1          21   14.609184287490429        42.065062180048692        43.467557327364233        2.5316712649652038       -1.1802657934216747      -0.71182064234277531     
           1          22   14.707586466104436        42.705427592569329        43.497047373309847        1.9469867930118989      -0.81242716004618765      -0.40398417702179795     
           1          23   14.920691575737859        43.471195201140965        43.386201851599573        1.3221373451721175      -0.54154687654993527      -4.98936490794153233E-003
           1          24   15.136862023602777        44.302812671736632        43.212320285883294       0.56101933343076027      -0.40926584764488788       0.45938223701827668     
           1          25   15.250296447004420        45.086500203593260        43.054114915124103      -0.37725114907640050      -0.41410409053925906       0.92986376965485085     
           1          26   15.206469668778544        45.725201086131634        42.977864119457216       -1.5184542570261736      -0.54138180910802436        1.3788875239591165     
           1          27   14.983847091242364        46.132786056573394        43.067740369377624       -2.8586279604659683      -0.79904588449912639        1.8216046382319722     
           1          28   14.574702110952941        46.281173074565288        43.474812724200532       -4.3867356089060241       -1.2507524808156216        2.3651891052075085     
           1          29   13.989628739242869        46.305512087214687        44.525374554425873       -6.1569556564413670       -2.0980523686116825        3.3511529735244450     
           1          30   13.475191096621685        45.429944670665364        47.556810240267538       -9.2803643705470158       -3.4247637020711017        5.7169864706471412     
           1          31   12.188875129671420        33.921560319449206        46.980220721420366       -7.5000034489843435        3.2781734632395882       9.57912637919275251E-002
           1          32   10.820383948642732        34.612434822634519        42.712175839668838       -6.5555568795749029        2.4104982214633495       0.92676478537457652     
           1          33   9.9011248935262426        33.619803417723048        43.016891933452143       -7.3174180234275541        1.1922585612774406        1.6056004346167794     
           1          34   9.0049700313832375        31.960774974998330        43.229020909719495       -7.7308615207709543       0.57876166629029779        1.7161289789133278     
           1          35   8.1772392051848488        30.120124140280954        43.398858064429653       -7.9653220148797299       0.21656996447871812        1.6123014726606726     
           1          36   7.4134983649519484        28.207094484025927        43.555533479164325       -8.0534276316826361       1.47435286996239652E-002   1.4147106099454323     
           1          37   6.7092040821462673        26.281512238879241        43.706078046286187       -7.9963092354980247      -7.61866076773967393E-002   1.1901073062693972     
           1          38   6.0627284592502848        24.397546668851493        43.844363868046074       -7.7944660358960416      -9.63557755215315032E-002  0.97742172853778331     
           1          39   5.4740666508024312        22.604633626621485        43.960955382779240       -7.4579818332373096      -7.88265240886994040E-002  0.79494020233923879     
           1          40   4.9438684522271155        20.941507868254977        44.049832898697716       -7.0054551488331853      -4.75930229923646475E-002  0.64618634906164607     
           1          41   4.4731872337833751        19.433521598500693        44.110234727314037       -6.4587689014062111      -1.72299281050002154E-002  0.52619753781992329     
           1          42   4.0597301718425705        18.082107032849489        44.145481270764556       -5.8322466106680846       5.49295204138828836E-003  0.42595006102498645     
           1          43   3.7129244751940771        16.918769047727807        44.159603541041996       -5.1553454026891368       1.81117158255996377E-002  0.33938487367637676     
           1          44   3.4296447532704089        15.930657585356776        44.157598248036315       -4.4361420672964460       2.13491330602373908E-002  0.25922534987952661     
           1          45   3.2103612618893624        15.116775937491315        44.143092295657219       -3.6858069596199923       1.65359974827102123E-002  0.18115761264953906     
           1          46   3.0546814511920335        14.475446511641298        44.118693508507668       -2.9139563682167111       5.16354240525209937E-003  0.10244495916390588     
           1          47   2.9613808836269238        14.004727282214152        44.086220673096044       -2.1294916499249346      -1.12297350554010720E-002  2.15015881761083869E-002
           1          48   2.9285998269814586        13.702325075600806        44.047029251473532       -1.3411212953184548      -3.08939932050751424E-002 -6.24114952912707063E-002
           1          49   2.9541151279869222        13.565295791010366        44.002322879943243      -0.55759475786293655      -5.16722500620244996E-002 -0.14933449432831422     
           1          50   3.0356009577410403        13.589721609423870        43.953417260094191       0.21228851326083970      -7.09110908160988096E-002 -0.23865534761173662     
           1          51   3.1723905642066805        13.772983899570105        43.901438927098098       0.96695286237566014      -8.56305698889185674E-002 -0.33000607312381663     
           1          52   3.3597927172966031        14.105113039112831        43.849486396643059        1.6834826399735552      -9.21894676603404323E-002 -0.41977149207562509     
           1          53   3.5970254093203176        14.579579755740628        43.799643208550258        2.3615761144662994      -8.74546252088704845E-002 -0.50646548810594139     
           1          54   3.8823889713833681        15.187999941507051        43.754927194263608        2.9944734917930025      -6.84405417907203023E-002 -0.58732150922300119     
           1          55   4.2142003768168586        15.921582222409931        43.718689430598744        3.5765416359488800      -3.27407157075474825E-002 -0.65930091289945936     
           1          56   4.5906143057741007        16.771653547511608        43.694474763291666        4.1034074197715142       2.12610366925156079E-002 -0.71925617068229197     
           1          57   5.0093886212524250        17.730250086514587        43.685895012513313        4.5720374887895483       9.42529556835884214E-002 -0.76415074038057829     
           1          58   5.4676080061521377        18.790771904052097        43.696557756385886        4.9808059741768531       0.18598799638740890      -0.79136891453640779     
           1          59   5.9614624334442334        19.948703857301428        43.730084737909934        5.3296116980513277       0.29554773853291672      -0.79912685098872582     
           1          60   6.4916905834055330        21.214983234439480        43.790904135139790        5.6226619271061233       0.42345408132694234      -0.78669665720597826     
           1          61   7.0446176295870835        22.566812172849890        43.881423626319190        5.8581550460041907       0.56817536169257754      -0.75525162938345802     
           1          62   7.6282136200819606        24.019888425773132        44.003933763119981        6.0452499961299102       0.73510038913929177      -0.70622132154580486     
           1          63   8.2619680955686494        25.576876346825458        44.154856246644115        6.1905832917867096       0.92927219557797358      -0.63826954456078244     
           1          64   8.9868863786428452        27.231303792914574        44.323795940833541        6.2948609407745311        1.1431857891485011      -0.54148157021816856     
           1          65   9.8421820473838260        28.959464576102953        44.506623104113068        6.3414025555011762        1.3403282351686736      -0.39497053669593679     
           1          66   10.820473695484715        30.720412516272503        44.727321561537259        6.2918465478530923        1.4680860302288559      -0.17800564223771484     
           1          67   11.863352557801607        32.464471725531489        45.034549151937753        6.1046370633722100        1.4980953146676192       0.11077681360184323     
           1          68   12.907211205218150        34.142960410176414        45.475288853403185        5.7662597573503662        1.4392348153470578       0.44929351358487263     
           1          69   13.923203686747193        35.737114984096856        46.087720618907184        5.3043253995306543        1.3116540897976967       0.81071269011208291     
           1          70   14.869898402914341        37.223857707135338        46.873786540898941        4.8031723986006547        1.1244716319076440        1.1639544210458592     
           1          71   15.733075391818730        38.699432456650904        47.821218815630196        4.3531045555088026       0.85009256302014591        1.4914153819427522     
           1          72   16.481091473543124        40.329850272527402        48.851329270309648        4.0171446089426226       0.42222570080417071        1.7448569736526298     
           1          73   17.089363892031102        42.304049437554156        49.802068774058064        3.7382224932097636      -0.23714265609009946        1.7989411734163636     
           1          74   17.569749156226955        44.612557108042303        50.483261793459711        3.2630298581683306       -1.1232229616561247        1.4321631427068406     
           1          75   17.998805797704129        46.743960976614389        50.832800141027782        2.2617594993024124       -2.0129086858826062       0.45972675739892710     
           1          76   18.449550529928999        47.800143975135882        50.997936110003202       0.70867479319368099       -2.4823431139633141      -0.93726709170959199     
           1          77   18.778120056856128        47.283111049358773        51.193997150170702      -0.92275834415465563       -2.2778590699728354       -2.1141143623087584     
           1          78   18.683037746557986        45.633197323648368        51.445218327959253       -2.0213043166935356       -1.6393056881214203       -2.5216803108233119     
           1          79   18.134626899515752        43.838916155162885        51.480254739467817       -2.3878889401599523       -1.0284416894507133       -2.1787444776523190     
           1          80   17.414870279637526        42.430852627800441        51.068816131784338       -2.3715613678406195      -0.67943576998483668       -1.4464779765313582     
           1          81   16.789296943639446        41.356924316584923        50.239016184415142       -2.3387616466479457      -0.62825034355835307      -0.69935387916177594     
           1          82   16.318480451474368        40.451132754801520        49.153439438821835       -2.4002854029689047      -0.76667751755453883      -0.21339541253668518     
           1          83   15.940416039568120        39.722425997990570        47.942139246779661       -2.5548335761512524      -0.91528961266704445      -4.87387462114454023E-002
           1          84   15.604130193842682        39.209037899975208        46.705314479864953       -2.8316268973371441      -0.95491932999611484      -9.43452651686251670E-002
           1          85   15.295923710959219        38.871980594000519        45.535359049336471       -3.2546501616366119      -0.86039745705913406      -0.21215587734869701     
           1          86   15.020403053703525        38.641763693888130        44.498395013008867       -3.8099612857310499      -0.65902725569398712      -0.30574776763575956     
           1          87   14.789172784675934        38.468804513852568        43.617965239184457       -4.4669686947701619      -0.39259774019111682      -0.32444208168822875     
           1          88   14.628939761268244        38.344407965861272        42.913183669873234       -5.1745756504479363      -0.11121781408481217      -0.25311702564968280     
           1          89   14.567203604948890        38.284128338600176        42.359250248139020       -5.9153250882725672       0.15091544009420357      -0.10231192230341414     
           1          90   14.637979230712515        38.320265924477688        41.936290603280305       -6.6871650636433007       0.36784836393437748       0.10488181948383454     
           1          91   14.874167228575502        38.487794038466255        41.631321695800786       -7.5082550589074595       0.52077769229834092       0.34191123880078095     
           1          92   15.303848646535926        38.818202258141923        41.445614709431815       -8.4130632637187084       0.59007262973861141       0.58428271343219995     
           1          93   15.949417123010409        39.337938612257560        41.400151175365075       -9.4496078706358517       0.54638595906045673       0.81027186613130853     
           1          94   16.829226951133048        40.069987542057895        41.542853100005701       -10.679282687329046       0.34593383095629959       0.99877995678422760     
           1          95   17.961242211147244        41.040123437572987        41.961870542544190       -12.180667444476640      -6.46107383555810932E-002   1.1299532531448400     
           1          96   19.390454434857741        42.308310588203881        42.817149481817204       -14.083769960452519      -0.74185151582121922        1.1994065465848980     
           1          97   21.203999120929424        43.960122598444187        44.293408198309940       -16.549465065163822       -1.7205056372904906        1.2498743292883603     
           1          98   23.977151623913901        46.186549292096785        46.334249458480656       -20.177906634575187       -3.1404416233774528        1.3877529393774204     
           1          99   29.245978375879861        48.230340301661350        47.586034790985764       -27.326515796766500       -5.3549227196215199        1.8114728172564785     
           1         100   23.343817295799585        22.937775488125453        39.158984954123603       -34.710469095714309      -0.27421779278726310       0.99017798907041421     
           2           1   18.924004393520168        16.488713069566842        59.066302268892173        43.290411307263319        6.4679794019325154        3.9350261452339952     
           2           2   36.699670908256891        69.273718588208055        70.026321660759550        43.521487243790986       -8.6800260248768080       -4.1082765152270335     
           2           3   27.797651188396852        56.493753799400615        52.212025424359197        31.714012036264709       -6.9357804560220249      -0.39042500138943048     
           2           4   25.467951503191614        51.946371417830917        46.618817993879432        25.523640833865620       -4.6277777157739628      -3.94905338563985228E-002
           2           5   23.328422529443859        49.600622642904604        44.435180889552903        21.414897321685693       -3.1647380918716661      -0.27294967723195857     
           2           6   21.560994940845635        48.011299409344019        43.182815512173455        18.270866544971749       -2.4120722598456728      -0.63747717638347245     
           2           7   20.274414162798315        46.747547888332107        42.344974530636151        15.772090191979636       -2.0937891527170067       -1.0317900389071799     
           2           8   19.351606141010620        45.639206644069326        41.781634593896676        13.708673642920028       -1.9921861131506895       -1.3921053005987689     
           2           9   18.655999795400074        44.643716350007622        41.453371369392869        11.985783969226334       -1.9970048806153888       -1.6744244216678599     
           2          10   18.084422626193160        43.761909540303677        41.325286834052633        10.545358477715999       -2.0589461717888353       -1.8717405584770608     
           2          11   17.587770652933667        43.008584289223727        41.352411056504039        9.3435372175784455       -2.1499665674308859       -2.0047198831451243     
           2          12   17.156523891760507        42.399899759979263        41.487137180451178        8.3396467704724095       -2.2384523707741937       -2.1025396838555666     
           2          13   16.787846128102522        41.948373656487924        41.697168809865218        7.4885528044976573       -2.2821548009436712       -2.1838384206515786     
           2          14   16.455287924832639        41.652985575655578        41.991069083433672        6.7392686827341430       -2.2485037530781775       -2.2371559495817444     
           2          15   16.127161113088725        41.485494265249017        42.420338879403701        6.0528720212005886       -2.1681797427182627       -2.2206837299913231     
           2          16   15.875835234294227        41.412608972409238        42.973860238877876        5.4471677204136411       -2.1413319714530736       -2.1236265458768515     
           2          17   15.834989194720485        41.414088668936905        43.561388587500950        4.8908376895679631       -2.1978458851927725       -1.9951821957897533     
           2          18   15.976890986728714        41.475384031613395        44.134136908605967        4.2974445215948949       -2.2699442982147375       -1.8491298376346388     
           2          19   16.060971862578732        41.603893347471548        44.725659716493013        3.6104460894727581       -2.2831658017668741       -1.6522578633746983     
           2          20   15.945535760263841        41.850901384811067        45.313939896796107        2.8695697929318009       -2.1224244603346669       -1.4180238763100570     
           2          21   15.821295213966861        42.261588153197870        45.763439205718733        2.1781222061586725       -1.7255457520792727       -1.1649043268644459     
           2          22   15.936313838295220        42.854148289174262        45.972853421455163        1.5833332600187153       -1.2183069819551569      -0.83501099959049685     
           2          23   16.300092443904493        43.634454364952894        45.966688786806735        1.0196448395881155      -0.78861330067597990      -0.36329461208448249     
           2          24   16.746831547618253        44.589512464271372        45.830871780359637       0.35746726424328124      -0.54957023467551480       0.24842010961230335     
           2          25   17.087025712263507        45.622609977801737        45.655570165956512      -0.50569128772159155      -0.54385861618703835       0.91427338045222206     
           2          26   17.234436490127521        46.616792383064649        45.512421691970395       -1.6572319399125937      -0.77926015233782742        1.5609853557872695     
           2          27   17.200665858336787        47.453716263028262        45.483500239713749       -3.1596823886379029       -1.3035586789983351        2.1821733208919158     
           2          28   17.093022485713739        48.183132011785396        45.683851407205864       -5.1048654530317696       -2.3221417925654797        2.9689179178973544     
           2          29   17.259123623417022        49.748704904088385        45.852081078414251       -7.8966396128998513       -4.3690485154915288        4.7835220613787079     
           2          30   12.434573495312211        43.695051646084366        35.913351764279277       -5.0796557025878855       0.20196289360937755        3.3345613672647878     
           2          31   12.820813847509134        33.647591868774143        39.793819189282729       -4.2801599949818492        6.2103131816242145       -1.9025980588546514     
           2          32   11.946271101390606        34.879578625515059        42.802969457568118       -6.6607724659642056        2.9377925029217709       0.94647949476805970     
           2          33   10.800476773947826        33.942559927541751        43.951179374429529       -7.2882204434767504        1.3367191124149085        1.7766751913000232     
           2          34   9.7549801260917182        32.268673178222251        44.424219163506265       -7.7228198954231555       0.52277210989999090        1.9090342030417669     
           2          35   8.8053637891280410        30.359172952011619        44.653183319375280       -8.0300353021717239       7.05762506077630553E-002   1.7568210392486501     
           2          36   7.9363117788343125        28.321982902675686        44.807994069818882       -8.1944432037956929      -0.15101761046347212        1.4867653981710713     
           2          37   7.1398892388804711        26.230050141409762        44.938387252596925       -8.1892639815016661      -0.21812788589898663        1.1957389744670750     
           2          38   6.4136211537919374        24.165074510846694        45.044507522201556       -8.0050889818240947      -0.19445244741135229       0.93912723472670290     
           2          39   5.7565223017044014        22.202966105947475        45.115553183604447       -7.6576685200974861      -0.13176413786104760       0.73878574458610680     
           2          40   5.1677794494101645        20.397769815128349        45.147319851812114       -7.1782751207170792      -6.51399107961064538E-002  0.59293902277407784     
           2          41   4.6471772307424404        18.778289043079329        45.144634382767421       -6.6004129080790186      -1.28370530927689498E-002  0.48799760942522108     
           2          42   4.1914167607412054        17.341399224434923        45.116705065792758       -5.9450519723283204       1.95506492139737413E-002  0.40729795872506741     
           2          43   3.8106346637118218        16.114014760949480        45.073818875815014       -5.2444963931474540       3.24591526815501130E-002  0.33905029616449295     
           2          44   3.5013346975241406        15.076929619149080        45.023089522744890       -4.5059055954480050       2.98002691328855991E-002  0.27332231414948055     
           2          45   3.2639297404314589        14.225654737951157        44.968924816112896       -3.7386945766129633       1.51092941914392018E-002  0.20468583118266606     
           2          46   3.0977052169185555        13.556895496926730        44.913429579068797       -2.9507450036610687      -8.80894022290598135E-003  0.13023900042444370     
           2          47   3.0008782720487841        13.068424764057527        44.857255592256607       -2.1498115294614331      -3.97027412059116139E-002  4.86515352881206828E-002
           2          48   2.9709120102753275        12.758370279611180        44.800357298019271       -1.3442163874515582      -7.53555202542133262E-002 -4.04029133759135489E-002
           2          49   3.0049190867916473        12.624381206749092        44.742567655444951      -0.54304408004561855      -0.11311804495471312      -0.13647161833353338     
           2          50   3.1000176601659675        12.662908859083874        44.684029994224453       0.24399226617481801      -0.14968107197438374      -0.23835950264015932     
           2          51   3.2553326989761264        12.871519826419052        44.624956392799206        1.0141591038815467      -0.18139577763424650      -0.34516914764721313     
           2          52   3.4655436391514258        13.239049551062635        44.568109858850335        1.7427846415072430      -0.20337435928322331      -0.45220452434130753     
           2          53   3.7298465246532313        13.757898194641465        44.515428085608747        2.4283500345525573      -0.21177746517860976      -0.55729617363663919     
           2          54   4.0463964588063828        14.418005514362324        44.470219760203989        3.0629617540417806      -0.20289322266415810      -0.65685477264238479     
           2          55   4.4133303087363922        15.208689951717041        44.436411192204858        3.6402042637020293      -0.17380120624066922      -0.74702078870569610     
           2          56   4.8285096190667431        16.119384722949057        44.418339763324539        4.1553229688904416      -0.12260990000432656      -0.82379567115322461     
           2          57   5.2891826394700843        17.140432405276680        44.420592340320695        4.6053163203683152      -4.85965060217975475E-002 -0.88321758964106412     
           2          58   5.7915579988089512        18.263951887692627        44.447948317350757        4.9889903530239152       4.78108905059562647E-002 -0.92165342466044686     
           2          59   6.3303736170533043        19.484816654560309        44.505472634296559        5.3070230507649532       0.16540510357034738      -0.93626699499726873     
           2          60   6.9045215081541125        20.814991183280270        44.599805160530828        5.5642396112394348       0.30477155629498209      -0.92544781800456632     
           2          61   7.4964080804958817        22.232361908921014        44.735018134055636        5.7604043657481361       0.46512542937197104      -0.89021077834972540     
           2          62   8.1115817993535586        23.757112469596144        44.915988454326566        5.9046808391494805       0.65534685939583703      -0.83385702131884953     
           2          63   8.7702927044500267        25.397790734503545        45.139637476870028        6.0035872149987908       0.88764752908966105      -0.76054368393873284     
           2          64   9.5244616497228307        27.154389958125474        45.390366988614616        6.0587087311993804        1.1637332354748520      -0.66917920534164199     
           2          65   10.437941246888892        29.006347419397144        45.650751030282159        6.0551183160108808        1.4491510456765204      -0.54377904272736044     
           2          66   11.527918424180863        30.906725246045852        45.932427478075958        5.9484359989046398        1.6753413728531121      -0.35468042687233714     
