    KK    EPS_TOT    EPS_PLA    SIGMA    GAMMA    TAU    EPS_DOT    RHO_TOT    ALPHA    ZP_X    ZP_Y    ZP_Z    TIME
     200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.66191E+10  -0.5732672   0.0000000   0.0000000   1.0000000    0.000000000000000
     400   0.83041E-01   0.17350E-05   0.99817E+02   0.42500E-05   0.40750E+02   0.33811E+02   0.74882E+10  43.3872477  -0.0000000   0.0000000   1.0000000    0.000000000000000
     600   0.84570E-01   0.24639E-05   0.10165E+03   0.60353E-05   0.41500E+02   0.78643E+01   0.82708E+10  42.0528273  -0.0000000   0.0000000   1.0000000    0.000000000000000
     800   0.86099E-01   0.29710E-05   0.10349E+03   0.72773E-05   0.42250E+02   0.16815E+00   0.89169E+10  41.2415990  -0.0000000   0.0000000   1.0000000    0.000000000000000
    1000   0.87628E-01   0.32086E-05   0.10533E+03   0.78595E-05   0.43000E+02   0.16334E-12   0.91716E+10  41.3952698  -0.0000000   0.0000000   1.0000000    0.000000000000000
    1200   0.89156E-01   0.34463E-05   0.10717E+03   0.84417E-05   0.43750E+02  -0.29698E-14   0.94264E+10  41.5526081  -0.0000000   0.0000000   1.0000000    0.000000000000000
    1400   0.90685E-01   0.36840E-05   0.10900E+03   0.90239E-05   0.44500E+02  -0.15522E+01   0.96812E+10  41.7132392  -0.0000000   0.0000000   1.0000000    0.000000000000000
    1600   0.92213E-01   0.36840E-05   0.11084E+03   0.90239E-05   0.45250E+02  -0.11641E+01   0.96812E+10  42.4242603  -0.0000000   0.0000000   1.0000000    0.000000000000000
    1800   0.93742E-01   0.39197E-05   0.11268E+03   0.96012E-05   0.46000E+02   0.43707E+02   0.99018E+10  42.6519969  -0.0000000   0.0000000   1.0000000    0.000000000000000
    2000   0.95270E-01   0.39217E-05   0.11451E+03   0.96061E-05   0.46750E+02  -0.87956E+00   0.99359E+10  43.2805201  -0.0000000   0.0000000   1.0000000    0.000000000000000
    2200   0.96799E-01   0.41593E-05   0.11635E+03   0.10188E-04   0.47500E+02  -0.29750E+00   0.10191E+11  43.4291071  -0.0000000   0.0000000   1.0000000    0.000000000000000
    2400   0.98327E-01   0.41593E-05   0.11819E+03   0.10188E-04   0.48250E+02  -0.98304E+00   0.10191E+11  44.1221247  -0.0000000   0.0000000   1.0000000    0.000000000000000
    2600   0.99855E-01   0.43970E-05   0.12002E+03   0.10770E-04   0.49000E+02  -0.54326E+00   0.10445E+11  44.2652425  -0.0000000   0.0000000   1.0000000    0.000000000000000
    2800   0.10138E+00   0.43970E-05   0.12186E+03   0.10770E-04   0.49750E+02  -0.10865E+01   0.10445E+11  44.9497566  -0.0000000   0.0000000   1.0000000    0.000000000000000
    3000   0.10291E+00   0.46347E-05   0.12370E+03   0.11353E-04   0.50500E+02  -0.10348E+01   0.10700E+11  45.0877327  -0.0000000   0.0000000   1.0000000    0.000000000000000
    3200   0.10444E+00   0.46347E-05   0.12554E+03   0.11353E-04   0.51250E+02  -0.17850E+01   0.10700E+11  45.7640487  -0.0000000   0.0000000   1.0000000    0.000000000000000
    3400   0.10597E+00   0.48644E-05   0.12737E+03   0.11915E-04   0.52000E+02   0.23968E+02   0.10887E+11  46.0408570  -0.0000000   0.0000000   1.0000000    0.000000000000000
    3600   0.10750E+00   0.48724E-05   0.12921E+03   0.11935E-04   0.52750E+02  -0.25869E+01   0.10955E+11  46.5655894  -0.0000000   0.0000000   1.0000000    0.000000000000000
    3800   0.10903E+00   0.48724E-05   0.13105E+03   0.11935E-04   0.53500E+02  -0.18070E+02   0.10955E+11  47.2339950  -0.0000001   0.0000000   1.0000000    0.000000000000000
    4000   0.11055E+00   0.51100E-05   0.13288E+03   0.12517E-04   0.54250E+02  -0.69848E+00   0.11210E+11  47.3549266  -0.0000001   0.0000000   1.0000000    0.000000000000000
    4200   0.11208E+00   0.53398E-05   0.13472E+03   0.13080E-04   0.55000E+02   0.58038E+02   0.11396E+11  47.6211781  -0.0000001   0.0000000   1.0000000    0.000000000000000
    4400   0.11361E+00   0.53477E-05   0.13656E+03   0.13099E-04   0.55750E+02  -0.75022E+01   0.11465E+11  48.1325714  -0.0000001   0.0000000   1.0000000    0.000000000000000
    4600   0.11514E+00   0.55854E-05   0.13840E+03   0.13681E-04   0.56500E+02  -0.71529E+01   0.11719E+11  48.2527588  -0.0000001   0.0000000   1.0000000    0.000000000000000
    4800   0.11667E+00   0.58151E-05   0.14023E+03   0.14244E-04   0.57250E+02   0.46203E+02   0.11906E+11  48.5144915  -0.0000001   0.0000000   1.0000000    0.000000000000000
    5000   0.11820E+00   0.58231E-05   0.14207E+03   0.14264E-04   0.58000E+02  -0.12805E+02   0.11974E+11  49.0153326  -0.0000001   0.0000000   1.0000000    0.000000000000000
    5200   0.11973E+00   0.60607E-05   0.14391E+03   0.14846E-04   0.58750E+02  -0.25352E+01   0.12229E+11  49.1347045  -0.0000001   0.0000000   1.0000000    0.000000000000000
    5400   0.12125E+00   0.62984E-05   0.14574E+03   0.15428E-04   0.59500E+02   0.18911E+02   0.12484E+11  49.2568925  -0.0000001   0.0000000   1.0000000    0.000000000000000
    5600   0.12278E+00   0.65282E-05   0.14758E+03   0.15991E-04   0.60250E+02   0.54119E+02   0.12670E+11  49.5145416  -0.0000001   0.0000000   1.0000000    0.000000000000000
    5800   0.12431E+00   0.65361E-05   0.14942E+03   0.16010E-04   0.61000E+02  -0.80713E+01   0.12738E+11  50.0015434  -0.0000001   0.0000000   1.0000000    0.000000000000000
    6000   0.12584E+00   0.70035E-05   0.15126E+03   0.17155E-04   0.61750E+02   0.72021E+02   0.13180E+11  49.7667503  -0.0000001   0.0000000   1.0000000    0.000000000000000
    6200   0.12737E+00   0.70114E-05   0.15309E+03   0.17174E-04   0.62500E+02  -0.11879E-13   0.13248E+11  50.2461807  -0.0000001   0.0000000   1.0000000    0.000000000000000
    6400   0.12890E+00   0.74868E-05   0.15493E+03   0.18339E-04   0.63250E+02   0.44845E+02   0.13757E+11  49.9033715  -0.0000001   0.0000000   1.0000000    0.000000000000000
    6600   0.13043E+00   0.77245E-05   0.15677E+03   0.18921E-04   0.64000E+02  -0.15910E+01   0.14012E+11  50.0386309  -0.0000001   0.0000000   1.0000000    0.000000000000000
    6800   0.13195E+00   0.79621E-05   0.15860E+03   0.19503E-04   0.64750E+02  -0.26387E+01   0.14267E+11  50.1755517  -0.0000001   0.0000000   1.0000000    0.000000000000000
    7000   0.13348E+00   0.81998E-05   0.16044E+03   0.20085E-04   0.65500E+02  -0.92657E-12   0.14522E+11  50.3140140  -0.0000001   0.0000000   1.0000000    0.000000000000000
    7200   0.13501E+00   0.86752E-05   0.16228E+03   0.21250E-04   0.66250E+02  -0.43719E+01   0.15031E+11  50.0245038  -0.0000001   0.0000000   1.0000000    0.000000000000000
    7400   0.13654E+00   0.91505E-05   0.16412E+03   0.22414E-04   0.67000E+02   0.25663E+02   0.15541E+11  49.7587848  -0.0000001   0.0000000   1.0000000    0.000000000000000
    7600   0.13807E+00   0.96239E-05   0.16595E+03   0.23574E-04   0.67750E+02   0.22649E+02   0.16016E+11  49.5675353  -0.0000001   0.0000000   1.0000000    0.000000000000000
    7800   0.13960E+00   0.10375E-04   0.16779E+03   0.25412E-04   0.68500E+02   0.65295E+02   0.16815E+11  48.9158926  -0.0000001   0.0000000   1.0000000    0.000000000000000
    8000   0.14113E+00   0.11109E-04   0.16963E+03   0.27212E-04   0.69250E+02   0.86508E+02   0.17545E+11  48.4153673  -0.0000001   0.0000000   1.0000000    0.000000000000000
    8200   0.14266E+00   0.11848E-04   0.17146E+03   0.29022E-04   0.70000E+02   0.59681E+02   0.18343E+11  47.8664913  -0.0000001   0.0000000   1.0000000    0.000000000000000
    8400   0.14419E+00   0.12829E-04   0.17330E+03   0.31423E-04   0.70750E+02   0.65411E+02   0.19328E+11  47.1341523  -0.0000001   0.0000000   1.0000000    0.000000000000000
    8600   0.14572E+00   0.14558E-04   0.17514E+03   0.35659E-04   0.71500E+02   0.11505E+03   0.20891E+11  45.8209892  -0.0000001   0.0000000   1.0000000    0.000000000000000
    8800   0.14725E+00   0.16934E-04   0.17698E+03   0.41481E-04   0.72250E+02   0.11746E+03   0.22929E+11  44.1991267  -0.0000002   0.0000000   1.0000000    0.000000000000000
    9000   0.14878E+00   0.20488E-04   0.17881E+03   0.50184E-04   0.73000E+02   0.23206E+03   0.25663E+11  42.2150401  -0.0000002   0.0000000   1.0000000    0.000000000000000
    9200   0.15031E+00   0.24267E-04   0.18065E+03   0.59441E-04   0.73750E+02   0.16003E+03   0.28652E+11  40.3658133  -0.0000002   0.0000000   1.0000000    0.000000000000000
    9400   0.15185E+00   0.30771E-04   0.18249E+03   0.75374E-04   0.74500E+02   0.21575E+03   0.32797E+11  38.1154818  -0.0000003   0.0000000   1.0000000    0.000000000000000
    9600   0.15338E+00   0.40050E-04   0.18432E+03   0.98103E-04   0.75250E+02   0.46282E+03   0.38231E+11  35.6605972  -0.0000004   0.0000000   1.0000000    0.000000000000000
    9800   0.15492E+00   0.53879E-04   0.18616E+03   0.13198E-03   0.76000E+02   0.71525E+03   0.46197E+11  32.7661192  -0.0000005   0.0000000   1.0000000    0.000000000000000
   10000   0.15647E+00   0.75177E-04   0.18800E+03   0.18415E-03   0.76750E+02   0.11071E+04   0.57950E+11  29.5458476  -0.0000007   0.0000000   1.0000000    0.000000000000000
   10200   0.15803E+00   0.10536E-03   0.18984E+03   0.25809E-03   0.77500E+02   0.14385E+04   0.72320E+11  26.7083497  -0.0000010   0.0000000   1.0000000    0.000000000000000
