    KK    EPS_TOT    EPS_PLA    SIGMA    GAMMA    TAU    EPS_DOT    RHO_TOT    ALPHA    ZP_X    ZP_Y    ZP_Z    TIME
     200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.44127E+10  -0.7021061   0.0000000   0.0000000   1.0000000    0.000000000000000
     400   0.10342E+00   0.93288E-06   0.12431E+03   0.22851E-05   0.50750E+02   0.87310E+01   0.52477E+10  64.7046919  -0.0000000   0.0000000   1.0000000    0.000000000000000
     600   0.10495E+00   0.11092E-05   0.12615E+03   0.27169E-05   0.51500E+02  -0.16334E-12   0.56049E+10  63.5436085  -0.0000000   0.0000000   1.0000000    0.000000000000000
     800   0.10648E+00   0.12656E-05   0.12799E+03   0.31001E-05   0.52250E+02   0.23528E+02   0.58255E+10  63.2452700  -0.0000000   0.0000000   1.0000000    0.000000000000000
    1000   0.10800E+00   0.12597E-05   0.12982E+03   0.30856E-05   0.53000E+02   0.15729E+02   0.57914E+10  64.3506640  -0.0000000   0.0000000   1.0000000    0.000000000000000
    1200   0.10953E+00   0.12676E-05   0.13166E+03   0.31050E-05   0.53750E+02   0.63850E-13   0.58597E+10  64.8886490  -0.0000000   0.0000000   1.0000000    0.000000000000000
    1400   0.11106E+00   0.12676E-05   0.13350E+03   0.31050E-05   0.54500E+02  -0.11879E-13   0.58597E+10  65.8025736  -0.0000000   0.0000000   1.0000000    0.000000000000000
    1600   0.11259E+00   0.12676E-05   0.13533E+03   0.31050E-05   0.55250E+02  -0.15729E+02   0.58597E+10  66.7164982  -0.0000000   0.0000000   1.0000000    0.000000000000000
    1800   0.11412E+00   0.14181E-05   0.13717E+03   0.34737E-05   0.56000E+02   0.27525E+02   0.60462E+10  66.5791714  -0.0000000   0.0000000   1.0000000    0.000000000000000
    2000   0.11565E+00   0.14181E-05   0.13901E+03   0.34737E-05   0.56750E+02   0.22610E+02   0.60462E+10  67.4788900  -0.0000000   0.0000000   1.0000000    0.000000000000000
    2200   0.11717E+00   0.14241E-05   0.14085E+03   0.34883E-05   0.57500E+02   0.17475E+02   0.60803E+10  68.1864129  -0.0000000   0.0000000   1.0000000    0.000000000000000
    2400   0.11870E+00   0.14261E-05   0.14268E+03   0.34931E-05   0.58250E+02   0.99488E-13   0.61144E+10  68.8905109  -0.0000000   0.0000000   1.0000000    0.000000000000000
    2600   0.12023E+00   0.14261E-05   0.14452E+03   0.34931E-05   0.59000E+02   0.25243E-13   0.61144E+10  69.7851929  -0.0000000   0.0000000   1.0000000    0.000000000000000
    2800   0.12176E+00   0.14261E-05   0.14636E+03   0.34931E-05   0.59750E+02  -0.17695E+02   0.61144E+10  70.6798748  -0.0000000   0.0000000   1.0000000    0.000000000000000
    3000   0.12329E+00   0.15766E-05   0.14819E+03   0.38618E-05   0.60500E+02   0.26542E+02   0.63009E+10  70.5073226  -0.0000000   0.0000000   1.0000000    0.000000000000000
    3200   0.12482E+00   0.15766E-05   0.15003E+03   0.38618E-05   0.61250E+02   0.20605E+02   0.63009E+10  71.3886641  -0.0000000   0.0000000   1.0000000    0.000000000000000
    3400   0.12634E+00   0.15825E-05   0.15187E+03   0.38764E-05   0.62000E+02   0.17591E+02   0.63351E+10  72.0750525  -0.0000000   0.0000000   1.0000000    0.000000000000000
    3600   0.12787E+00   0.15845E-05   0.15371E+03   0.38812E-05   0.62750E+02   0.80184E-13   0.63692E+10  72.7582742  -0.0000000   0.0000000   1.0000000    0.000000000000000
    3800   0.12940E+00   0.15845E-05   0.15554E+03   0.38812E-05   0.63500E+02  -0.15729E+02   0.63692E+10  73.6348799  -0.0000000   0.0000000   1.0000000    0.000000000000000
    4000   0.13093E+00   0.15845E-05   0.15738E+03   0.38812E-05   0.64250E+02  -0.20644E+02   0.63692E+10  74.5114856  -0.0000000   0.0000000   1.0000000    0.000000000000000
    4200   0.13246E+00   0.17350E-05   0.15922E+03   0.42500E-05   0.65000E+02   0.23593E+02   0.65557E+10  74.3079966  -0.0000000   0.0000000   1.0000000    0.000000000000000
    4400   0.13399E+00   0.17350E-05   0.16105E+03   0.42500E-05   0.65750E+02   0.16479E+02   0.65557E+10  75.1720430  -0.0000000   0.0000000   1.0000000    0.000000000000000
    4600   0.13551E+00   0.17430E-05   0.16289E+03   0.42694E-05   0.66500E+02  -0.65335E-13   0.66240E+10  75.6432708  -0.0000000   0.0000000   1.0000000    0.000000000000000
    4800   0.13704E+00   0.17430E-05   0.16473E+03   0.42694E-05   0.67250E+02  -0.16712E+02   0.66240E+10  76.5028534  -0.0000000   0.0000000   1.0000000    0.000000000000000
    5000   0.13857E+00   0.18935E-05   0.16657E+03   0.46381E-05   0.68000E+02   0.27525E+02   0.68105E+10  76.2958071  -0.0000000   0.0000000   1.0000000    0.000000000000000
    5200   0.14010E+00   0.17430E-05   0.16840E+03   0.42694E-05   0.68750E+02  -0.25559E+02   0.66240E+10  78.2220187  -0.0000000   0.0000000   1.0000000    0.000000000000000
    5400   0.14163E+00   0.17430E-05   0.17024E+03   0.42694E-05   0.69500E+02  -0.35933E+02   0.66240E+10  79.0816013  -0.0000000   0.0000000   1.0000000    0.000000000000000
    5600   0.14316E+00   0.19014E-05   0.17208E+03   0.46575E-05   0.70250E+02   0.17819E-13   0.68787E+10  78.4468244  -0.0000000   0.0000000   1.0000000    0.000000000000000
    5800   0.14468E+00   0.19014E-05   0.17391E+03   0.46575E-05   0.71000E+02  -0.18678E+02   0.68787E+10  79.2903387  -0.0000000   0.0000000   1.0000000    0.000000000000000
    6000   0.14621E+00   0.20519E-05   0.17575E+03   0.50262E-05   0.71750E+02   0.25559E+02   0.70652E+10  79.0691214  -0.0000000   0.0000000   1.0000000    0.000000000000000
    6200   0.14774E+00   0.20519E-05   0.17759E+03   0.50262E-05   0.72500E+02   0.20566E+02   0.70652E+10  79.9014279  -0.0000000   0.0000000   1.0000000    0.000000000000000
    6400   0.14927E+00   0.15053E-05   0.17943E+03   0.36872E-05   0.73250E+02   0.46138E+02   0.68787E+10  81.8208814  -0.0000000   0.0000000   1.0000000    0.000000000000000
    6600   0.15080E+00   0.20500E-05   0.18126E+03   0.50213E-05   0.74000E+02   0.20139E+02   0.86280E+10  73.8105195  -0.0000000   0.0000000   1.0000000    0.000000000000000
    6800   0.15233E+00   0.27075E-05   0.18310E+03   0.66321E-05   0.74750E+02   0.55257E+02   0.10666E+11  67.0623286  -0.0000000   0.0000000   1.0000000    0.000000000000000
    7000   0.15386E+00   0.37474E-05   0.18494E+03   0.91791E-05   0.75500E+02   0.79109E+02   0.13434E+11  60.3582960  -0.0000000   0.0000000   1.0000000    0.000000000000000
    7200   0.15539E+00   0.55933E-05   0.18677E+03   0.13701E-04   0.76250E+02   0.90285E+02   0.15796E+11  56.2211636  -0.0000001   0.0000000   1.0000000    0.000000000000000
    7400   0.15692E+00   0.86871E-05   0.18861E+03   0.21279E-04   0.77000E+02   0.18850E+03   0.19735E+11  50.7953818  -0.0000001   0.0000000   1.0000000    0.000000000000000
    7600   0.15845E+00   0.12678E-04   0.19045E+03   0.31055E-04   0.77750E+02   0.20909E+03   0.23404E+11  47.1014267  -0.0000001   0.0000000   1.0000000    0.000000000000000
    7800   0.15998E+00   0.18768E-04   0.19228E+03   0.45973E-04   0.78500E+02   0.34097E+03   0.28770E+11  42.8949762  -0.0000002   0.0000000   1.0000000    0.000000000000000
    8000   0.16152E+00   0.26439E-04   0.19412E+03   0.64763E-04   0.79250E+02   0.35558E+03   0.33900E+11  39.8966368  -0.0000003   0.0000000   1.0000000    0.000000000000000
    8200   0.16306E+00   0.36404E-04   0.19596E+03   0.89171E-04   0.80000E+02   0.50197E+03   0.39539E+11  37.2940623  -0.0000004   0.0000000   1.0000000    0.000000000000000
    8400   0.16460E+00   0.51621E-04   0.19780E+03   0.12645E-03   0.80750E+02   0.81238E+03   0.48372E+11  34.0356814  -0.0000005   0.0000000   1.0000000    0.000000000000000
    8600   0.16615E+00   0.74121E-04   0.19963E+03   0.18156E-03   0.81500E+02   0.10691E+04   0.60023E+11  30.8398450  -0.0000007   0.0000000   1.0000000    0.000000000000000
    8800   0.16772E+00   0.10842E-03   0.20147E+03   0.26557E-03   0.82250E+02   0.16891E+04   0.75290E+11  27.7909086  -0.0000011   0.0000000   1.0000000    0.000000000000000
    9000   0.16929E+00   0.15431E-03   0.20331E+03   0.37797E-03   0.83000E+02   0.19361E+04   0.92360E+11  25.3219554  -0.0000015   0.0000000   1.0000000    0.000000000000000
    9200   0.17088E+00   0.21775E-03   0.20514E+03   0.53337E-03   0.83750E+02   0.28616E+04   0.11272E+12  23.1293262  -0.0000022   0.0000000   1.0000000    0.000000000000000
    9400   0.17249E+00   0.29768E-03   0.20698E+03   0.72916E-03   0.84500E+02   0.36096E+04   0.13570E+12  21.2701768  -0.0000030   0.0000000   1.0000000    0.000000000000000
    9600   0.17412E+00   0.40078E-03   0.20882E+03   0.98170E-03   0.85250E+02   0.45596E+04   0.16169E+12  19.6602337  -0.0000040   0.0000000   1.0000000    0.000000000000000
    9800   0.17578E+00   0.53474E-03   0.21066E+03   0.13098E-02   0.86000E+02   0.55987E+04   0.17191E+12  19.2356052  -0.0000053   0.0000000   1.0000000    0.000000000000000
   10000   0.17746E+00   0.68662E-03   0.21249E+03   0.16819E-02   0.86750E+02   0.66418E+04   0.19424E+12  18.2548756  -0.0000068   0.0000000   1.0000000    0.000000000000000
   10200   0.17916E+00   0.85846E-03   0.21433E+03   0.21028E-02   0.87500E+02   0.72549E+04   0.21631E+12  17.4487316  -0.0000086   0.0000000   1.0000000    0.000000000000000
