KK    EPS_TOT    EPS_PLA    SIGMA    GAMMA    TAU    EPS_DOT    RHO_TOT    ALPHA    ZP_X    ZP_Y    ZP_Z    TIME
   6800   0.14214E+00   0.19014E-05   0.17085E+03   0.46575E-05   0.69750E+02   0.71275E-13   0.68787E+10  77.8844816  -0.0000000   0.0000000   1.0000000    0.000000000000000
   7000   0.14367E+00   0.19014E-05   0.17269E+03   0.46575E-05   0.70500E+02  -0.58982E+01   0.68787E+10  78.7279958  -0.0000000   0.0000000   1.0000000    0.000000000000000
   7200   0.14519E+00   0.19014E-05   0.17453E+03   0.46575E-05   0.71250E+02  -0.19661E+02   0.68787E+10  79.5715101  -0.0000000   0.0000000   1.0000000    0.000000000000000
   7400   0.14672E+00   0.20519E-05   0.17636E+03   0.50262E-05   0.72000E+02   0.24576E+02   0.70652E+10  79.3465569  -0.0000000   0.0000000   1.0000000    0.000000000000000
   7600   0.14825E+00   0.20519E-05   0.17820E+03   0.50262E-05   0.72750E+02   0.15302E+02   0.70652E+10  80.1788634  -0.0000000   0.0000000   1.0000000    0.000000000000000
   7800   0.14978E+00   0.17410E-05   0.18004E+03   0.42645E-05   0.73500E+02   0.43694E+02   0.73541E+10  79.4040041  -0.0000000   0.0000000   1.0000000    0.000000000000000
   8000   0.15131E+00   0.21866E-05   0.18187E+03   0.53561E-05   0.74250E+02   0.28366E+02   0.91034E+10  72.1017974  -0.0000000   0.0000000   1.0000000    0.000000000000000
   8200   0.15284E+00   0.27491E-05   0.18371E+03   0.67339E-05   0.75000E+02   0.20515E+02   0.11396E+11  65.0968398  -0.0000000   0.0000000   1.0000000    0.000000000000000
   8400   0.15437E+00   0.38424E-05   0.18555E+03   0.94120E-05   0.75750E+02  -0.49281E+01   0.14012E+11  59.2977476  -0.0000000   0.0000000   1.0000000    0.000000000000000
   8600   0.15590E+00   0.66510E-05   0.18739E+03   0.16291E-04   0.76500E+02   0.14147E+03   0.17188E+11  54.0742195  -0.0000001   0.0000000   1.0000000    0.000000000000000
   8800   0.15743E+00   0.97586E-05   0.18922E+03   0.23904E-04   0.77250E+02   0.19190E+03   0.20975E+11  49.4324379  -0.0000001   0.0000000   1.0000000    0.000000000000000
   9000   0.15896E+00   0.14338E-04   0.19106E+03   0.35120E-04   0.78000E+02   0.23202E+03   0.25051E+11  45.6742516  -0.0000001   0.0000000   1.0000000    0.000000000000000
   9200   0.16050E+00   0.20450E-04   0.19290E+03   0.50092E-04   0.78750E+02   0.22148E+03   0.30197E+11  42.0039428  -0.0000002   0.0000000   1.0000000    0.000000000000000
   9400   0.16203E+00   0.28634E-04   0.19473E+03   0.70139E-04   0.79500E+02   0.33616E+03   0.35242E+11  39.2538032  -0.0000003   0.0000000   1.0000000    0.000000000000000
   9600   0.16357E+00   0.39979E-04   0.19657E+03   0.97928E-04   0.80250E+02   0.59368E+03   0.41475E+11  36.5278598  -0.0000004   0.0000000   1.0000000    0.000000000000000
   9800   0.16512E+00   0.56551E-04   0.19841E+03   0.13852E-03   0.81000E+02   0.77953E+03   0.51140E+11  33.2047762  -0.0000006   0.0000000   1.0000000    0.000000000000000
  10000   0.16667E+00   0.81731E-04   0.20025E+03   0.20020E-03   0.81750E+02   0.10591E+04   0.63658E+11  30.0388155  -0.0000008   0.0000000   1.0000000    0.000000000000000
  10200   0.16824E+00   0.11886E-03   0.20208E+03   0.29115E-03   0.82500E+02   0.15408E+04   0.79537E+11  27.1214633  -0.0000012   0.0000000   1.0000000    0.000000000000000
